Year,District,Crop,Predicted_Yield,Rice,Sorghum,Maize,Finger millet,Chickpea,Pigeonpea,Groundnut,Arecanut,Revenue,Cost,Profit
2034,Davanagere,Maize,5871.570873622068,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,60480.95952847865,60413.47,60548.449056957295
2034,Davanagere,Finger millet,2141.638525858413,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,14553.214562506926,79299.73,-50193.30087498615
2034,Davanagere,Chickpea,1002.5894984473672,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,26389.10399867076,40870.34,11907.86799734152
2034,Davanagere,Pigeonpea,1190.357940886404,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,26683.00166858597,45957.39,7408.613337171941
2034,Davanagere,Groundnut,1492.8473409183373,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,46195.30414498663,67803.33,24587.278289973256
2034,Davanagere,Arecanut,7138.904039265884,1200.023069,1519.876953,1030.06437,679.5364571,2632.094595,2241.594797,3094.442605,40797.7556,2912512.6224582237,503137.23,5321888.014916448
2035,Davanagere,Rice,6550.295775720045,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,64200.982715091,92006.24,36395.72543018199
2035,Davanagere,Sorghum,2775.8307848931463,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,24003.065829182277,60413.47,-12407.338341635448
2035,Davanagere,Maize,5771.09655740023,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,35683.23009670585,60413.47,10952.990193411693
2035,Davanagere,Finger millet,2118.9440275224624,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,13447.744446642304,79299.73,-52404.24110671539
2035,Davanagere,Chickpea,980.5557039458758,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,22625.368434851094,40870.34,4380.396869702192
2035,Davanagere,Pigeonpea,1139.7562974932916,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,49178.714890556876,45957.39,52400.03978111375
2035,Davanagere,Groundnut,1504.8339551480024,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,21158.14758457952,67803.33,-25487.03483084096
2035,Davanagere,Arecanut,6330.346302401888,980.123416,864.7164647,618.3093584,634.6436844,2307.402664,4314.844761,1406.012106,40314.23924,2552030.953070791,503137.23,4600924.676141582
2036,Davanagere,Rice,6648.977329447361,931.448781,1002.476426,825.4876594,458.2461662,854.9128466,3370.622511,2279.257796,40306.5789,61931.8182841038,92006.24,31857.396568207594
2036,Davanagere,Sorghum,3205.181369975364,931.448781,1002.476426,825.4876594,458.2461662,854.9128466,3370.622511,2279.257796,40306.5789,32131.187644546862,60413.47,3848.9052890937237
2036,Davanagere,Maize,6101.372302898404,931.448781,1002.476426,825.4876594,458.2461662,854.9128466,3370.622511,2279.257796,40306.5789,50366.07541447592,60413.47,40318.68082895184
2036,Davanagere,Finger millet,2193.544608431757,931.448781,1002.476426,825.4876594,458.2461662,854.9128466,3370.622511,2279.257796,40306.5789,10051.834072025327,79299.73,-59196.061855949345
2036,Davanagere,Chickpea,1052.9844417445604,931.448781,1002.476426,825.4876594,458.2461662,854.9128466,3370.622511,2279.257796,40306.5789,9002.09926517354,40870.34,-22866.141469652917
2036,Davanagere,Pigeonpea,1306.0922938308368,931.448781,1002.476426,825.4876594,458.2461662,854.9128466,3370.622511,2279.257796,40306.5789,44023.440870298444,45957.39,42089.49174059689
